date,price
2014-09-07,11.52
2014-09-14,11.62
2014-09-21,11.51
2014-09-28,11.32
2014-10-05,10.79
2014-10-12,11.5
2014-10-19,11.2
2014-10-26,10.91
2014-11-02,10.39
2014-11-09,9.55
2014-11-16,9.17
2014-11-23,9.77
2014-11-30,10.1
2014-12-07,10.4
2014-12-14,10.73
2014-12-21,11.18
2014-12-28,11.72
2015-01-04,12.44
2015-01-11,12.04
2015-01-18,11.37
2015-01-25,9.83
2015-02-01,9.36
2015-02-08,9.06
2015-02-15,9.78
2015-02-22,8.86
2015-03-01,10.54
2015-03-08,11.58
2015-03-15,11.41
2015-03-22,11.67
2015-03-29,11.7
2015-04-05,11.59
2015-04-12,11.58
2015-04-19,11.55
2015-04-26,11.58
2015-05-03,11.95
2015-05-10,12.03
2015-05-17,12.34
2015-05-24,12.52
2015-05-31,12.39
2015-06-07,11.78
2015-06-14,10.92
2015-06-21,9.88
2015-06-28,9.16
2015-07-05,8.77
2015-07-12,8.39
2015-07-19,8.69
2015-07-26,9.05
2015-08-02,9.29
2015-08-09,9.79
2015-08-16,9.87
2015-08-23,9.58
2015-08-30,9.63
2015-09-06,9.37
2015-09-13,9.05
2015-09-20,8.96
2015-09-27,8.89
2015-10-04,8.95
2015-10-11,8.93
2015-10-18,8.65
2015-10-25,8.48
2015-11-01,8.43
2015-11-08,8.76
2015-11-15,9.0
2015-11-22,9.16
2015-11-29,8.69
2015-12-06,8.71
2015-12-13,8.94
2015-12-20,8.86
2015-12-27,8.94
2016-01-03,9.09
2016-01-10,9.07
2016-01-17,8.2
2016-01-24,7.55
2016-01-31,8.18
2016-02-07,8.39
2016-02-14,9.14
2016-02-21,9.32
2016-02-28,8.92
2016-03-06,8.66
2016-03-13,8.71
2016-03-20,9.43
2016-03-27,9.65
2016-04-03,9.56
2016-04-10,9.64
2016-04-17,9.51
2016-04-24,9.7
2016-05-01,9.61
2016-05-08,9.95
2016-05-15,10.52
2016-05-22,11.2
2016-05-29,11.32
2016-06-05,10.25
2016-06-12,9.75
2016-06-19,9.37
2016-06-26,8.86
2016-07-03,8.32
2016-07-10,8.25
2016-07-17,8.17
2016-07-24,8.17
2016-07-31,7.97
2016-08-07,7.86
2016-08-14,8.06
2016-08-21,8.0
2016-08-28,7.82
2016-09-04,7.44
2016-09-11,8.31
2016-09-18,9.38
2016-09-25,9.03
2016-10-02,8.38
2016-10-09,8.07
2016-10-16,7.72
2016-10-23,7.73
2016-10-30,8.06
2016-11-06,8.69
2016-11-13,8.87
2016-11-20,8.07
2016-11-27,6.97
2016-12-04,6.76
2016-12-11,7.62
2016-12-18,7.36
2016-12-25,7.05
2017-01-01,7.06
2017-01-08,6.67
2017-01-15,6.44
2017-01-22,6.17
2017-01-29,7.46
2017-02-05,7.93
2017-02-12,7.17
2017-02-19,6.35
2017-02-26,6.45
2017-03-05,6.29
2017-03-12,5.74
2017-03-19,5.66
2017-03-26,6.06
2017-04-02,7.18
2017-04-09,7.42
2017-04-16,7.31
2017-04-23,6.92
2017-04-30,7.0
2017-05-07,7.05
2017-05-14,6.6
2017-05-21,7.57
2017-05-28,7.58
2017-06-04,7.3
